Point in Time[s],Power Consumption[W]
3648.667,72.0
3658.667,90.0
3668.67,97.0
3674.79,52.0
3684.797,70.0
3694.802,52.0
3704.702,54.0
3718.668,70.0
3723.921,95.0
3734.741,78.0
3748.668,56.0
3758.668,73.0
3768.669,63.0
3778.667,52.0
3788.67,93.0
3794.805,69.0
3804.685,152.0
3814.689,122.0
3828.667,144.0
3838.67,108.0
3849.096,137.0
3854.754,119.0
3868.667,116.0
3876.497,117.0
3888.669,117.0
3898.687,117.0
3908.664,135.0
3918.695,117.0
3924.69,119.0
3934.706,114.0
3944.69,116.0
3954.71,107.0
3963.858,130.0
3978.707,102.0
3984.802,101.0
3994.82,102.0
4004.803,102.0
4014.822,105.0
4028.664,132.0
4034.8,105.0
4044.693,104.0
4054.726,111.0
4064.687,108.0
4074.925,109.0
4083.874,121.0
4098.711,113.0
4104.693,106.0
4115.174,105.0
4123.844,127.0
4135.28,103.0
4143.865,138.0
4155.397,113.0
4164.698,115.0
4174.813,116.0
4188.694,59.0
4194.818,75.0
4204.832,118.0
4214.762,61.0
4224.81,62.0
4238.673,55.0
4245.505,53.0
4254.691,51.0
4268.681,119.0
4274.693,52.0
4288.686,52.0
4298.674,52.0
4305.515,56.0
4314.697,60.0
4324.709,96.0
4338.677,56.0
4345.511,53.0
4354.808,61.0
4364.82,51.0
4374.817,54.0
4384.835,96.0
4394.697,52.0
4408.694,55.0
4418.676,51.0
4425.513,55.0
4438.676,55.0
4445.508,103.0
4454.749,54.0
4468.698,59.0
4478.676,53.0
4485.57,52.0
4498.676,69.0
4505.511,93.0
4518.681,52.0
4525.53,69.0
4534.697,57.0
4544.706,54.0
4558.68,59.0
4565.513,74.0
4578.682,72.0
4585.516,51.0
4594.813,54.0
4604.823,57.0
4618.676,70.0
4625.511,92.0
4638.678,69.0
4645.519,67.0
4654.802,52.0
4664.858,74.0
4674.7,69.0
4684.711,136.0
4698.682,53.0
4708.695,66.0
4714.808,52.0
4724.818,94.0
4734.697,52.0
4748.688,93.0
4754.696,54.0
4764.706,52.0
4774.696,51.0
4784.76,50.0
4793.856,51.0
4804.594,95.0
4818.685,51.0
4825.511,52.0
4834.698,70.0
4848.695,52.0
4858.679,52.0
4865.525,94.0
4878.68,72.0
4888.73,53.0
4898.68,54.0
4908.695,54.0
4914.705,78.0
4924.83,103.0
4938.69,64.0
4945.572,57.0
4955.166,57.0
4969.116,53.0
4974.821,51.0
4988.73,92.0
4994.859,54.0
5005.104,55.0
5018.681,51.0
5028.697,51.0
5034.704,67.0
5045.144,96.0
5058.681,69.0
5068.696,52.0
5078.686,65.0
5085.512,51.0
5094.818,52.0
5105.229,116.0
5114.699,61.0
5125.238,70.0
5134.699,58.0
5145.257,98.0
5158.685,56.0
5165.517,152.0
5178.684,96.0
5185.518,61.0
5194.725,52.0
5205.335,70.0
5214.702,57.0
5225.363,96.0
5234.7,54.0
5245.377,65.0
5254.699,52.0
5265.393,53.0
5274.814,56.0
5285.413,93.0
5294.884,53.0
5308.7,52.0
5318.686,51.0
5325.516,56.0
5334.707,51.0
5345.505,94.0
5354.709,56.0
5365.514,91.0
5378.952,61.0
5388.968,52.0
5394.707,51.0
5405.554,101.0
5414.756,64.0
5425.576,52.0
5434.818,52.0
5445.611,57.0
5458.685,60.0
5468.7,93.0
5478.69,54.0
5488.7,67.0
5494.822,53.0
5508.711,56.0
5514.708,59.0
5525.689,103.0
5534.876,52.0
5545.712,73.0
5554.71,61.0
5568.702,55.0
5578.686,59.0
5585.785,131.0
5598.709,56.0
5605.803,70.0
5614.884,56.0
5625.837,63.0
5638.688,57.0
5645.842,91.0
5658.691,54.0
5665.872,59.0
5674.821,54.0
5685.901,54.0
5698.686,56.0
5705.931,97.0
5718.688,56.0
5725.951,69.0
5738.687,56.0
5745.959,54.0
5758.687,52.0
5765.979,92.0
5778.691,54.0
5786.011,54.0
5798.689,62.0
5806.039,51.0
5814.707,52.0
5826.061,92.0
5834.709,57.0
5846.077,53.0
5854.711,90.0
5866.097,62.0
5874.731,89.0
5886.115,102.0
5895.118,89.0
5906.136,56.0
5914.708,55.0
5926.177,63.0
5938.688,56.0
5946.206,109.0
5954.711,66.0
5966.232,74.0
5978.691,56.0
5986.254,82.0
5994.925,93.0
6009.372,111.0
6018.824,108.0
6026.297,55.0
6034.988,79.0
6046.357,59.0
6054.77,56.0
6069.173,75.0
6074.868,53.0
6086.824,52.0
6098.691,70.0
6106.846,62.0
6114.794,59.0
6130.525,71.0
6135.539,51.0
6147.132,51.0
6154.784,52.0
6167.182,54.0
6174.979,58.0
6187.192,93.0
6198.731,54.0
6207.322,51.0
6214.718,59.0
6227.366,52.0
6234.731,52.0
6247.432,95.0
6258.698,101.0
6267.664,67.0
6278.881,57.0
6287.701,55.0
6298.692,57.0
6307.79,61.0
6314.712,59.0
6327.825,69.0
6338.692,59.0
6348.424,56.0
6358.693,58.0
6368.471,95.0
6378.698,55.0
6388.687,52.0
6394.734,70.0
6408.717,52.0
6414.717,52.0
6428.692,92.0
6434.716,69.0
6448.688,61.0
6454.87,90.0
6463.869,54.0
6474.73,53.0
6488.77,92.0
6494.885,49.0
6509.034,53.0
6514.832,52.0
6528.69,53.0
6533.87,52.0
6548.686,97.0
6553.87,71.0
6568.689,52.0
6578.693,57.0
6584.91,54.0
6598.696,69.0
