Point in Time[s],Power Consumption[W]
0.637,99.0
10.657,79.0
20.676,89.0
30.695,161.0
40.714,154.0
50.735,104.0
59.539,151.0
70.59,136.0
80.613,137.0
90.629,142.0
100.652,147.0
110.683,142.0
120.705,142.0
130.722,129.0
139.644,144.0
150.592,142.0
160.616,142.0
170.638,143.0
180.66,89.0
190.679,116.0
200.703,88.0
210.722,89.0
220.743,107.0
230.775,91.0
239.537,97.0
249.555,81.0
259.577,81.0
269.594,99.0
279.614,82.0
290.643,99.0
300.664,100.0
310.682,124.0
320.702,123.0
330.72,99.0
340.737,84.0
350.758,79.0
359.542,87.0
369.558,99.0
379.663,99.0
389.682,110.0
399.7,100.0
410.643,84.0
420.659,81.0
430.675,80.0
440.695,87.0
450.711,92.0
460.728,81.0
470.76,79.0
480.645,80.0
490.662,81.0
500.677,97.0
510.694,81.0
520.734,98.0
530.764,98.0
539.669,98.0
550.649,96.0
560.666,82.0
570.685,123.0
580.703,99.0
590.729,81.0
600.747,81.0
610.655,98.0
620.676,142.0
630.697,125.0
640.714,146.0
650.734,120.0
660.75,129.0
669.668,136.0
679.685,114.0
689.703,131.0
699.72,177.0
709.747,170.0
720.656,188.0
730.672,165.0
740.686,139.0
750.701,141.0
760.736,140.0
769.673,140.0
779.701,144.0
789.717,134.0
799.736,130.0
809.753,138.0
820.619,130.0
830.686,131.0
840.717,173.0
850.749,140.0
860.617,139.0
870.638,146.0
880.655,150.0
890.678,138.0
900.697,134.0
910.715,129.0
920.732,133.0
930.748,131.0
940.62,135.0
950.66,136.0
960.679,140.0
970.694,136.0
980.715,138.0
990.734,137.0
1000.759,136.0
1010.666,142.0
1020.692,129.0
1030.715,131.0
1040.756,138.0
1049.582,135.0
1059.607,139.0
1070.648,137.0
1080.67,165.0
1090.686,138.0
1100.71,130.0
1110.733,139.0
1120.756,137.0
1129.572,146.0
1139.691,148.0
1149.727,165.0
1159.755,138.0
1169.772,138.0
1179.795,141.0
1190.652,149.0
1200.673,141.0
1210.689,150.0
1220.71,131.0
1230.729,134.0
1240.753,142.0
1250.625,142.0
1260.665,141.0
1270.681,138.0
1280.701,131.0
1290.716,135.0
1300.736,138.0
1310.768,137.0
1320.689,148.0
1330.704,143.0
1340.725,139.0
1350.742,141.0
1360.766,150.0
1370.627,141.0
1380.649,139.0
1390.664,145.0
1400.685,135.0
1410.699,139.0
1420.719,147.0
1430.748,143.0
1440.628,152.0
1450.644,142.0
1460.673,140.0
1470.708,147.0
1480.733,139.0
1490.803,161.0
1500.632,139.0
1510.677,155.0
1520.7,143.0
1530.718,146.0
1540.745,147.0
1550.785,142.0
1560.674,144.0
1570.693,139.0
1580.716,145.0
1590.734,163.0
1600.759,141.0
1610.67,134.0
1620.7,146.0
1630.715,140.0
1640.741,141.0
1650.765,139.0
1660.631,145.0
1670.664,138.0
1680.686,139.0
1690.699,141.0
1700.718,138.0
1710.734,141.0
1720.759,147.0
1730.641,144.0
1740.692,142.0
1750.709,141.0
1760.733,173.0
1770.749,140.0
1780.772,149.0
1790.794,142.0
1800.636,148.0
1810.654,149.0
1820.676,146.0
1830.694,141.0
1840.721,141.0
1850.74,140.0
1860.759,142.0
1870.637,139.0
1880.653,142.0
1890.685,142.0
1900.701,140.0
1910.729,142.0
1920.748,147.0
1930.762,142.0
1940.787,140.0
1950.64,144.0
1960.658,144.0
1970.677,140.0
1980.712,140.0
1990.729,169.0
2000.745,144.0
2010.767,145.0
2020.811,145.0
2030.843,163.0
2040.866,149.0
2050.64,140.0
2060.684,145.0
2070.707,140.0
2080.731,149.0
2090.751,144.0
2100.767,151.0
2110.684,164.0
2120.707,161.0
2130.721,142.0
2140.746,168.0
2150.779,161.0
2160.8,160.0
2170.683,165.0
