Point in Time[s],Power Consumption[W]
13.65,88.0
24.344,86.0
29.351,88.0
39.353,87.0
49.385,84.0
64.344,86.0
73.695,86.0
79.357,85.0
89.363,81.0
99.355,79.0
114.391,130.0
124.345,84.0
133.747,132.0
139.355,84.0
149.361,83.0
159.358,83.0
169.371,87.0
179.387,99.0
189.359,81.0
199.361,86.0
213.807,101.0
224.351,99.0
233.51,134.0
239.358,97.0
249.369,102.0
259.372,97.0
269.355,88.0
284.349,99.0
289.372,89.0
299.357,86.0
313.899,87.0
324.349,85.0
333.91,93.0
344.351,82.0
353.458,132.0
359.361,81.0
369.363,99.0
379.358,101.0
393.955,101.0
404.353,101.0
413.984,86.0
424.354,83.0
433.985,118.0
444.352,83.0
454.01,85.0
464.356,120.0
474.389,83.0
484.355,101.0
494.049,81.0
504.355,101.0
514.052,83.0
524.363,91.0
534.078,101.0
544.356,83.0
554.096,81.0
564.358,100.0
574.11,83.0
584.357,102.0
594.389,120.0
604.373,81.0
614.146,96.0
619.37,89.0
634.164,84.0
644.36,81.0
654.258,82.0
664.359,80.0
674.2,81.0
684.361,81.0
694.208,82.0
699.368,124.0
713.323,116.0
724.36,95.0
729.371,84.0
739.363,84.0
754.261,101.0
764.362,130.0
774.278,82.0
784.368,81.0
794.296,102.0
804.362,83.0
814.296,119.0
819.378,85.0
833.227,116.0
844.366,82.0
854.351,101.0
864.366,83.0
874.364,97.0
884.367,83.0
894.375,94.0
904.364,83.0
914.375,92.0
919.382,85.0
934.37,122.0
944.369,92.0
949.399,114.0
964.367,80.0
974.371,81.0
984.37,99.0
994.375,89.0
1004.38,102.0
1014.378,101.0
1024.372,106.0
1034.373,81.0
1044.37,86.0
1054.373,93.0
1064.373,99.0
1069.396,128.0
1084.368,82.0
1094.375,88.0
1104.386,81.0
1114.374,99.0
1124.37,101.0
1134.375,82.0
1144.371,100.0
1154.376,81.0
1164.372,94.0
1174.375,83.0
1184.372,83.0
1190.088,107.0
1204.374,81.0
1214.376,85.0
1219.286,98.0
1234.386,101.0
1239.261,100.0
1254.379,94.0
1264.377,164.0
1274.435,164.0
1284.434,161.0
1294.445,106.0
1304.436,107.0
1313.316,117.0
1324.431,151.0
1329.405,115.0
1339.402,151.0
1349.389,144.0
1364.427,144.0
1374.442,143.0
1384.432,143.0
1394.444,148.0
1404.432,148.0
1414.45,146.0
1419.409,154.0
1433.334,172.0
1444.436,138.0
1454.456,131.0
1464.445,133.0
1469.383,164.0
1479.392,141.0
1494.436,136.0
1499.387,136.0
1509.39,136.0
1519.436,136.0
1534.434,137.0
1539.383,136.0
1553.705,182.0
1559.378,136.0
1569.385,136.0
1579.383,134.0
1589.386,137.0
1599.384,132.0
1609.383,149.0
1624.438,143.0
1629.449,151.0
1639.417,132.0
1654.38,102.0
1659.386,101.0
1673.368,114.0
1679.375,130.0
1694.381,104.0
1699.388,102.0
1709.4,125.0
1724.382,102.0
1729.401,87.0
1739.4,99.0
1749.393,104.0
1759.282,106.0
1769.382,101.0
1779.403,101.0
1789.405,101.0
1799.382,104.0
1814.382,104.0
1824.383,101.0
1829.392,100.0
1839.392,102.0
1854.387,100.0
1864.383,101.0
1869.39,102.0
1879.392,102.0
1889.39,103.0
1899.391,130.0
1914.45,115.0
1919.296,122.0
1929.397,102.0
1939.391,121.0
1949.392,102.0
1959.39,101.0
1969.284,105.0
1979.391,104.0
1989.391,102.0
1999.283,104.0
2014.383,101.0
2024.387,85.0
2033.214,110.0
2039.393,102.0
2049.397,100.0
2064.386,102.0
2069.393,81.0
2084.385,101.0
2094.39,83.0
2099.397,101.0
2114.386,102.0
2124.387,96.0
2134.389,83.0
2139.397,101.0
2153.463,127.0
2164.393,118.0
2174.394,91.0
2184.396,87.0
2194.396,105.0
2204.392,104.0
2214.39,115.0
2219.413,96.0
2229.404,119.0
2244.393,118.0
2254.394,87.0
2264.395,104.0
2273.256,118.0
2284.393,81.0
2294.398,87.0
2304.395,122.0
2314.403,82.0
2319.41,81.0
2329.416,96.0
2339.296,81.0
2354.392,82.0
2364.397,85.0
2369.403,81.0
2384.394,81.0
2394.428,115.0
2404.395,81.0
2414.392,83.0
2419.401,101.0
2434.393,91.0
2439.402,94.0
2454.395,95.0
2464.396,97.0
2474.394,85.0
2484.396,91.0
2494.398,102.0
2504.396,104.0
2510.123,121.0
2524.394,100.0
2529.404,102.0
2544.396,101.0
2554.415,104.0
2564.404,103.0
2574.397,101.0
2584.422,102.0
2589.429,102.0
2604.398,102.0
2614.398,135.0
2619.431,81.0
2633.589,141.0
2644.401,89.0
2654.401,103.0
2664.402,83.0
2674.399,120.0
2684.4,103.0
2694.411,91.0
2704.404,84.0
2714.403,102.0
2719.411,89.0
2734.41,86.0
2744.406,94.0
2753.212,121.0
2764.407,87.0
2774.418,87.0
2784.409,104.0
2789.415,83.0
2799.411,125.0
2809.427,108.0
2824.411,86.0
2834.408,83.0
2844.411,84.0
2849.418,91.0
2859.415,83.0
2873.242,117.0
2884.441,81.0
2894.409,80.0
2899.415,84.0
2914.411,80.0
2924.41,81.0
2929.429,87.0
2939.287,81.0
2954.409,102.0
2964.41,125.0
2974.41,82.0
2984.413,83.0
2994.453,107.0
3004.411,81.0
3014.411,101.0
3019.421,82.0
3034.409,84.0
3039.415,81.0
3054.412,83.0
3064.413,130.0
3074.408,95.0
3084.41,81.0
3094.413,82.0
3104.41,82.0
3114.446,90.0
3124.41,109.0
3129.454,183.0
3144.409,85.0
3154.41,83.0
3164.411,102.0
3174.418,84.0
3184.414,83.0
3194.415,85.0
3204.414,89.0
3214.416,85.0
3219.425,102.0
3229.44,112.0
3244.418,82.0
3254.416,100.0
3264.416,99.0
3274.417,83.0
3284.415,87.0
3294.415,81.0
3304.417,83.0
3314.416,83.0
3324.416,81.0
3329.426,84.0
3339.422,90.0
3349.442,118.0
3364.419,81.0
3374.418,86.0
3384.416,94.0
3394.421,99.0
3404.416,101.0
3414.416,119.0
3419.422,103.0
3434.418,101.0
3444.418,126.0
3454.417,92.0
3464.418,101.0
3473.463,107.0
3479.427,104.0
3494.422,89.0
3504.421,131.0
3514.42,100.0
3524.419,127.0
3534.421,101.0
3539.427,104.0
3554.42,104.0
3564.422,82.0
3574.423,82.0
3579.43,102.0
3594.453,142.0
3604.423,88.0
3614.422,83.0
3619.432,102.0
