Point in Time[s],Utilization of Active Resource[]
3.778,0.0
13.8,0.0
23.82,0.0
33.301,0.0
43.322,0.0
53.349,0.0
63.307,0.0
73.292,0.0
83.315,0.0
93.3,0.0
103.32,0.0
117.906,0.0
123.674,0.0
133.695,0.0
143.717,0.0
153.273,0.0
163.294,0.0
173.323,0.0
183.313,0.0
193.296,0.0
203.327,0.0
213.295,0.0
223.319,0.0
237.655,0.0
243.686,0.0
253.427,0.0
263.447,0.0
273.292,0.0
283.311,0.0
293.339,0.0
303.299,0.0
313.292,0.0
323.311,0.0
333.292,0.0
343.358,0.0
357.896,0.0
363.776,0.0
373.39,0.0
383.414,0.0
393.314,0.0
403.332,0.0
413.361,0.0
423.298,0.0
433.288,0.0
443.308,0.0
453.304,0.0
463.323,0.0
477.668,0.0
483.736,0.0
493.411,0.0
503.429,0.0
513.297,0.0
523.318,0.0
533.348,0.0
543.334,0.0
553.3,0.0
563.33,0.0
573.317,0.0
583.339,0.0
597.774,0.0
603.774,0.0
613.794,0.0
623.815,0.0
633.306,0.0
643.325,0.0
653.355,0.0
663.331,0.0
673.305,0.0
683.338,0.01
693.304,0.0
703.324,0.0
717.906,0.0
723.629,0.0
733.649,0.0
743.672,0.0
753.302,0.0
763.335,0.0
773.392,0.0
783.298,0.0
793.351,0.0
803.372,0.0
813.359,0.0
823.38,0.0
837.745,0.0
843.685,0.0
853.719,0.0
863.757,0.0
873.356,0.0
883.374,0.0
893.401,0.0
903.305,0.0
913.322,0.0
923.375,0.0
933.313,0.0
943.332,0.0
957.821,0.0
963.729,0.0
973.751,0.0
983.773,0.0
993.399,0.0
1003.445,0.0
1017.533,0.0
1023.318,0.0
1033.393,0.0
1043.413,0.0
1053.317,0.0
1063.35,0.0
1077.911,0.0
1083.661,0.0
1093.681,0.0
1103.696,0.0
1113.323,0.0
1123.342,0.0
1137.531,0.0
1143.315,0.0
1153.314,0.0
1163.337,0.0
1173.372,0.0
1183.393,0.0
1197.766,0.0
1203.729,0.0
1213.744,0.0
1223.336,0.0
1233.321,0.0
1243.342,0.0
1257.644,0.0
1263.318,0.0
1273.31,0.0
1283.359,0.0
1293.317,0.0
1303.338,0.0
1317.784,0.0
1323.706,0.0
1333.525,0.0
1343.547,0.0
1353.361,0.0
1363.381,0.0
1377.541,0.0
1383.315,0.0
1393.389,0.0
1403.411,0.0
1413.346,0.0
1423.369,0.0
1437.861,0.0
1443.878,0.0
1453.487,0.0
1463.509,0.0
1473.353,0.0
1483.373,0.0
1497.562,0.0
1507.59,0.0
1513.327,0.0
1523.353,0.0
1533.332,0.0
1547.62,0.0
1557.822,0.0
1563.884,0.0
1573.445,0.0
1583.466,0.0
1593.357,0.0
1603.38,0.02
1617.641,0.0
1623.333,0.0
1633.323,0.01
1643.349,0.01
1653.331,0.03
1663.388,0.03
1677.966,0.03
1683.88,0.03
1693.421,0.03
1703.472,0.03
1713.337,0.03
1723.336,0.03
1733.372,0.03
1743.352,0.03
1753.343,0.03
1763.334,0.03
1773.36,0.03
1783.325,0.03
1797.826,0.03
1803.984,0.03
1814.016,0.03
1823.349,0.03
1833.483,0.03
1843.51,0.03
1857.604,0.03
1863.406,0.03
1873.381,0.03
1883.556,0.03
1893.579,0.03
1903.338,0.03
1918.072,0.03
1924.246,0.03
1933.413,0.0
1944.112,0.0
1953.444,0.0
1963.369,0.03
1973.414,0.03
1983.344,0.03
1993.368,0.03
2003.351,0.03
2013.342,0.03
2023.364,0.03
2038.0,0.03
2043.767,0.03
2053.801,0.03
2063.357,0.03
2073.34,0.03
2083.365,0.03
2093.555,0.03
2103.439,0.03
2113.465,0.03
2123.414,0.03
2133.639,0.03
2143.379,0.03
2154.07,0.03
2163.538,0.03
2173.579,0.03
2183.72,0.03
2193.749,0.03
2203.369,0.03
2213.406,0.03
2223.335,0.03
2234.184,0.03
2243.368,0.03
2253.397,0.03
2263.343,0.03
2274.272,0.03
2283.925,0.03
2293.956,0.03
2303.366,0.03
2313.408,0.02
2323.349,0.03
2335.079,0.03
2343.356,0.03
2353.414,0.03
2363.381,0.03
2373.407,0.03
2383.355,0.03
2395.245,0.03
2403.427,0.03
2413.679,0.03
2423.962,0.03
2433.988,0.03
2443.378,0.03
2453.418,0.03
2463.361,0.03
2473.444,0.03
2483.36,0.03
2493.435,0.03
2503.367,0.03
2515.911,0.03
2523.634,0.03
2533.669,0.03
2543.358,0.03
2553.386,0.03
2563.399,0.03
2573.439,0.03
2583.374,0.03
2593.403,0.03
2603.514,0.03
2613.541,0.03
2623.43,0.03
2636.737,0.03
2643.68,0.03
2653.707,0.03
2663.97,0.03
2674.005,0.03
2683.42,0.03
2693.46,0.03
2703.389,0.03
2713.469,0.03
2723.36,0.03
2733.392,0.03
2743.376,0.03
2757.185,0.03
2763.851,0.03
2773.88,0.03
2783.92,0.03
2793.374,0.03
2803.384,0.03
2813.422,0.04
2823.548,0.03
2833.457,0.03
2843.365,0.03
2853.414,0.03
2863.445,0.03
2878.622,0.03
2883.369,0.03
2893.604,0.03
2904.813,0.03
2913.37,0.03
2923.37,0.03
2937.593,0.03
2943.502,0.03
2953.419,0.03
2963.348,0.03
2973.376,0.03
2983.384,0.03
2997.882,0.03
3003.733,0.03
3013.76,0.03
3023.399,0.03
3033.391,0.03
3043.39,0.03
3053.423,0.03
3063.665,0.03
3073.473,0.03
3083.406,0.03
3093.422,0.03
3103.579,0.03
3118.811,0.03
3123.454,0.03
3133.796,0.03
3143.837,0.03
3153.478,0.03
3163.37,0.03
3173.401,0.03
3183.385,0.03
3193.41,0.03
3203.385,0.03
3213.385,0.03
3223.384,0.03
3238.006,0.03
3243.664,0.03
3253.816,0.03
3263.383,0.03
3273.391,0.03
3283.417,0.03
3293.452,0.03
3303.374,0.03
3313.393,0.03
3323.48,0.03
3333.738,0.03
3343.527,0.03
3358.235,0.03
3363.437,0.04
3373.679,0.03
3383.715,0.03
3393.387,0.03
3403.417,0.03
3413.451,0.03
3423.394,0.04
3433.452,0.03
3443.48,0.03
3453.543,0.03
3463.527,0.03
3477.938,0.03
3483.925,0.03
3493.953,0.05
3503.977,0.04
3513.391,0.03
3523.424,0.03
3533.451,0.03
3543.39,0.03
3553.449,0.03
3563.477,0.03
3573.389,0.03
3586.112,0.03
3598.312,0.03
3603.463,0.03
3614.085,0.03
3624.119,0.03
3633.396,0.03
3643.421,0.03
3657.607,0.03
3663.386,0.03
3673.427,0.03
3683.452,0.03
3693.394,0.03
3703.427,0.03
3718.019,0.03
3723.601,0.03
3733.634,0.04
3743.425,0.03
3753.408,0.03
3763.437,0.03
3777.708,0.03
3783.399,0.03
3793.438,0.03
3807.602,0.03
3813.456,0.03
3823.48,0.03
3838.412,0.03
3843.437,0.03
3853.63,0.04
3864.816,0.0
3873.454,0.03
3883.412,0.03
3893.454,0.03
3903.403,0.03
3913.405,0.04
3923.402,0.03
3933.418,0.03
3943.447,0.03
3957.904,0.03
3963.726,0.03
3973.755,0.03
3983.4,0.03
3993.395,0.03
4003.4,0.03
4013.439,0.03
4023.424,0.03
4033.44,0.03
4043.407,0.03
4053.415,0.03
4063.447,0.03
4078.492,0.03
4083.413,0.03
4093.666,0.03
4107.025,0.03
4113.455,0.0
4123.437,0.03
4133.482,0.03
4143.386,0.03
4153.437,0.03
4163.402,0.03
4173.427,0.03
4183.41,0.04
4197.883,0.03
4203.922,0.03
4213.955,0.03
4223.409,0.03
4233.435,0.03
4243.441,0.03
4253.679,0.03
4263.432,0.03
4273.524,0.03
4283.44,0.03
4293.783,0.03
4303.439,0.03
4318.772,0.03
4323.453,0.03
4333.805,0.03
4343.938,0.03
4353.413,0.03
4363.412,0.03
4373.453,0.03
4383.436,0.03
4393.462,0.03
4403.411,0.03
4413.45,0.03
4423.419,0.03
4434.615,0.03
4443.828,0.06
4453.854,0.03
4463.476,0.03
4473.452,0.03
4483.408,0.04
4493.449,0.03
4503.416,0.06
4513.432,0.06
4523.415,0.06
4533.516,0.06
4543.415,0.06
4558.048,0.06
4564.072,0.06
4573.438,0.06
4583.778,0.06
4593.804,0.06
4603.479,0.06
4613.511,0.06
4623.428,0.06
4633.453,0.07
4643.436,0.06
4653.428,0.06
4663.428,0.06
4678.144,0.06
4683.487,0.06
4693.643,0.06
4705.313,0.06
4713.559,0.06
4723.433,0.03
4737.84,0.03
4743.466,0.03
4753.557,0.04
4763.554,0.03
4773.49,0.03
4783.515,0.03
4798.211,0.03
4803.481,0.03
4814.447,0.04
4823.521,0.03
4833.814,0.0
4843.848,0.04
4853.882,0.04
4864.662,0.06
4873.487,0.06
4883.514,0.06
4893.628,0.06
4903.567,0.06
4917.968,0.06
4924.269,0.06
4933.476,0.06
4944.035,0.06
4953.526,0.06
4963.617,0.06
4973.658,0.06
4983.441,0.06
4993.616,0.06
5003.595,0.06
5013.524,0.06
5023.568,0.06
5038.841,0.06
5043.868,0.06
5053.821,0.03
5063.853,0.03
5073.88,0.05
5086.816,0.0
5097.689,0.0
5103.537,0.0
5113.461,0.0
5123.561,0.0
5133.51,0.01
5143.538,0.04
5158.386,0.04
5163.523,0.04
5174.075,0.03
5184.085,0.04
5193.817,0.05
5203.845,0.05
5217.73,0.07
5223.449,0.06
5233.549,0.07
5248.02,0.05
5253.49,0.07
5263.532,0.07
5278.112,0.05
5283.522,0.04
5294.111,0.03
5304.047,0.01
5313.654,0.0
5323.685,0.06
5333.597,0.03
5343.645,0.03
5353.553,0.03
5363.461,0.06
5373.497,0.05
5383.636,0.03
5398.977,0.03
5403.528,0.03
5413.542,0.03
5423.618,0.05
5433.85,0.04
5443.433,0.05
5457.634,0.05
5463.466,0.06
5473.816,0.05
5483.457,0.05
5493.457,0.06
5503.481,0.03
5518.278,0.03
5523.551,0.03
5533.489,0.0
5543.67,0.02
5553.754,0.04
5563.479,0.06
5573.522,0.06
5583.462,0.06
5593.614,0.06
5603.561,0.06
5613.445,0.06
5623.452,0.06
5638.866,0.05
5643.527,0.03
5653.776,0.06
5669.295,0.03
5674.325,0.06
5683.459,0.06
5693.501,0.06
5703.516,0.03
5713.544,0.06
5723.557,0.03
5734.109,0.06
5743.465,0.06
5754.432,0.06
5763.472,0.03
5773.939,0.06
5783.491,0.06
5797.549,0.03
5803.454,0.06
5817.647,0.07
5823.729,0.07
5837.795,0.07
5843.536,0.07
5857.9,0.07
5863.627,0.07
5878.012,0.03
5883.612,0.06
5894.932,0.03
5903.551,0.0
5915.074,0.03
5923.871,0.06
5937.835,0.06
5943.675,0.04
5953.616,0.05
5963.467,0.06
5973.69,0.06
5983.457,0.06
5998.074,0.06
6003.503,0.06
6013.664,0.03
6027.939,0.06
6033.482,0.07
6043.48,0.06
6053.518,0.06
6063.479,0.06
6073.52,0.07
6083.525,0.03
6093.865,0.06
6103.474,0.07
6118.814,0.06
6123.542,0.03
6133.501,0.03
6144.093,0.03
6153.551,0.05
6163.768,0.06
6173.809,0.04
6183.678,0.06
6193.724,0.06
6204.478,0.05
6213.558,0.06
6223.589,0.06
6237.934,0.05
6244.22,0.03
6253.549,0.03
6264.266,0.06
6273.62,0.06
6285.812,0.06
6293.525,0.06
6305.919,0.03
6313.629,0.03
6326.022,0.03
6333.491,0.03
6346.12,0.04
6358.398,0.04
6363.659,0.03
6374.419,0.03
6384.456,0.03
6394.034,0.03
6404.067,0.06
6417.741,0.06
6423.467,0.06
6433.633,0.05
6447.215,0.06
6453.657,0.07
6467.333,0.03
6478.645,0.0
6483.677,0.0
6494.123,0.0
6504.158,0.04
6514.222,0.03
6524.17,0.04
6537.679,0.07
6548.141,0.07
6553.479,0.07
6563.491,0.07
6573.47,0.06
6583.502,0.06
6598.153,0.06
6608.446,0.03
