Point in Time[s],Power Consumption[W]
1.6,75.0
11.516,71.0
20.587,59.0
31.559,69.0
41.559,55.0
49.606,64.0
61.518,74.0
71.559,67.0
80.456,72.0
90.476,54.0
100.493,57.0
110.51,53.0
120.537,54.0
130.577,71.0
141.557,52.0
150.456,52.0
160.472,67.0
170.49,52.0
181.522,53.0
190.457,69.0
200.474,69.0
210.491,54.0
220.575,92.0
230.595,58.0
241.64,53.0
250.458,70.0
260.475,51.0
270.575,92.0
279.61,51.0
290.465,52.0
300.512,51.0
310.533,71.0
320.55,72.0
330.569,54.0
341.563,53.0
351.584,55.0
361.616,56.0
371.565,90.0
380.459,54.0
390.473,90.0
400.491,90.0
410.505,51.0
420.524,54.0
430.538,56.0
440.587,53.0
450.607,69.0
460.482,53.0
470.496,53.0
480.521,53.0
490.537,53.0
501.566,52.0
511.589,50.0
519.618,56.0
531.565,52.0
540.464,55.0
550.569,62.0
560.46,67.0
570.476,71.0
580.496,56.0
590.514,55.0
601.633,95.0
611.654,70.0
620.462,53.0
630.583,94.0
640.631,56.0
650.652,59.0
660.584,80.0
670.603,56.0
681.52,57.0
691.541,104.0
701.52,59.0
711.544,59.0
721.61,76.0
731.631,74.0
741.575,62.0
751.597,66.0
760.468,60.0
771.523,57.0
779.62,82.0
791.563,57.0
800.464,70.0
810.478,54.0
820.495,55.0
830.51,62.0
840.637,78.0
850.657,58.0
860.468,53.0
871.526,54.0
880.575,54.0
891.525,53.0
900.468,57.0
910.484,54.0
920.499,55.0
930.589,57.0
940.605,63.0
950.622,53.0
960.646,91.0
970.665,72.0
980.473,54.0
990.486,71.0
1000.501,64.0
1010.516,74.0
1020.538,64.0
1030.552,75.0
1041.582,72.0
1051.603,72.0
1060.471,72.0
1070.487,70.0
1080.532,57.0
1090.548,70.0
1100.567,74.0
1110.588,91.0
1120.472,70.0
1130.588,54.0
1141.579,93.0
1151.603,92.0
1160.473,53.0
1170.489,71.0
1180.583,61.0
1190.603,59.0
1200.632,58.0
1210.65,53.0
1220.472,75.0
1230.604,90.0
1241.585,74.0
1251.605,72.0
1260.476,78.0
1270.495,73.0
1280.61,85.0
1290.632,91.0
1300.584,94.0
1310.605,95.0
1320.658,121.0
1330.679,92.0
1341.579,106.0
1351.602,99.0
1360.476,76.0
1371.533,106.0
1380.476,107.0
1391.534,97.0
1400.588,99.0
1410.607,74.0
1421.578,98.0
1431.598,91.0
1441.631,108.0
1451.65,90.0
1461.532,112.0
1471.553,107.0
1480.477,106.0
1491.535,98.0
1500.589,105.0
1510.612,55.0
1521.578,104.0
1531.598,108.0
1541.576,106.0
1551.596,107.0
1561.627,96.0
1571.653,106.0
1581.536,105.0
1591.558,109.0
1601.537,101.0
1611.58,93.0
1621.537,104.0
1631.558,93.0
1641.588,108.0
1651.611,74.0
1661.536,85.0
1671.555,78.0
1681.588,91.0
1691.611,79.0
1701.541,75.0
1711.573,58.0
1721.486,54.0
1731.508,72.0
1740.5,74.0
1751.594,67.0
1760.589,72.0
1771.539,74.0
1780.588,67.0
1791.54,72.0
1801.601,71.0
1811.623,74.0
1821.541,72.0
1831.561,74.0
1840.598,54.0
1851.543,71.0
1860.488,75.0
1871.541,71.0
1881.541,72.0
1891.561,72.0
1901.548,70.0
1911.568,71.0
1921.601,72.0
1931.624,74.0
1941.584,57.0
1951.612,61.0
1961.541,56.0
1971.583,72.0
1981.581,72.0
1991.601,52.0
2001.585,72.0
2011.605,73.0
2021.583,72.0
2031.609,59.0
2041.643,75.0
2051.663,75.0
2061.554,74.0
2071.587,74.0
2081.543,72.0
2091.583,74.0
2100.5,74.0
2110.591,76.0
2121.584,74.0
2131.605,95.0
2140.6,72.0
2150.63,74.0
2160.681,74.0
2171.545,74.0
2181.545,93.0
2191.568,57.0
2201.585,74.0
2211.622,74.0
2221.549,75.0
2231.795,76.0
2241.589,74.0
2251.609,58.0
2260.617,52.0
2271.586,53.0
2281.618,73.0
2291.639,71.0
2301.587,54.0
2311.607,72.0
2320.484,54.0
2333.843,71.0
2340.606,73.0
2350.629,59.0
2361.607,71.0
2371.636,74.0
2380.485,55.0
2390.499,76.0
2400.546,62.0
2413.935,71.0
2429.064,51.0
2434.076,73.0
2441.593,90.0
2451.615,52.0
2461.597,54.0
2471.629,71.0
2480.487,53.0
2490.511,52.0
2501.573,59.0
2511.595,53.0
2521.645,54.0
2531.66,51.0
2541.588,54.0
2551.607,51.0
2561.599,53.0
2571.62,61.0
2580.49,67.0
2593.846,53.0
2600.517,51.0
2613.873,53.0
2620.547,52.0
2630.563,53.0
2640.653,55.0
2651.592,53.0
2660.606,52.0
2670.629,51.0
2680.492,54.0
2690.507,56.0
2701.595,56.0
2711.617,56.0
2720.49,53.0
2730.515,71.0
2741.593,54.0
2751.613,57.0
2761.636,90.0
2771.658,72.0
2780.505,55.0
2790.532,55.0
2801.556,56.0
2811.577,55.0
2821.597,53.0
2831.618,51.0
2839.757,51.0
2853.847,51.0
2860.499,52.0
2870.515,92.0
2880.642,71.0
2890.661,70.0
2900.494,53.0
2910.51,95.0
2920.526,57.0
2930.543,70.0
2940.616,53.0
2950.634,69.0
2960.507,52.0
2973.851,70.0
2980.544,56.0
2990.561,53.0
3000.588,71.0
3010.606,70.0
3020.498,53.0
3030.512,70.0
3040.527,71.0
3053.874,70.0
3061.563,53.0
3071.586,60.0
3080.496,70.0
3090.511,52.0
3100.619,71.0
3110.64,54.0
3120.926,57.0
3130.942,71.0
3140.497,75.0
3153.852,66.0
3161.611,74.0
3171.632,90.0
3180.5,73.0
3193.854,73.0
3200.528,74.0
3210.544,52.0
3220.56,53.0
3230.579,73.0
3241.659,62.0
3251.685,72.0
3260.616,62.0
3271.556,67.0
3280.335,77.0
3293.855,53.0
3300.502,62.0
3313.889,74.0
3321.588,77.0
3331.612,71.0
3340.501,75.0
3353.856,71.0
3360.595,107.0
3370.61,74.0
3380.624,81.0
3390.645,74.0
3400.501,74.0
3413.856,73.0
3421.608,84.0
3431.629,77.0
3441.601,87.0
3451.625,88.0
3460.644,90.0
3470.664,94.0
3481.623,106.0
3491.64,111.0
3501.56,108.0
3511.579,105.0
3521.562,105.0
3531.585,108.0
3541.626,106.0
3550.64,106.0
3560.625,108.0
3571.601,100.0
3581.6,101.0
3590.511,110.0
3601.677,60.0
