Point in Time[s],Utilization of Active Resource[]
8.257,0.0
17.855,0.0
28.258,0.0
37.869,0.0
48.257,0.0
54.244,0.0
68.257,0.0
77.906,0.0
88.259,0.0
97.914,0.0
108.26,0.0
117.927,0.0
128.259,0.0
137.945,0.0
148.264,0.0
157.955,0.0
164.238,0.0
174.257,0.0
188.259,0.0
197.988,0.0
208.258,0.0
218.0,0.0
228.261,0.0
238.015,0.0
248.259,0.0
258.028,0.0
268.263,0.0
278.042,0.0
288.261,0.0
294.243,0.0
308.26,0.0
318.077,0.0
328.26,0.0
338.091,0.0
348.262,0.0
358.104,0.0
368.264,0.0
378.12,0.0
388.263,0.0
398.131,0.0
408.263,0.0
414.249,0.0
428.261,0.0
438.166,0.0
448.26,0.0
458.184,0.0
468.262,0.0
478.192,0.0
488.263,0.0
498.206,0.0
508.263,0.0
518.221,0.0
528.263,0.0
534.255,0.0
548.263,0.0
558.253,0.0
568.264,0.0
578.262,0.0
588.263,0.0
598.267,0.0
608.269,0.0
618.263,0.0
628.264,0.0
638.264,0.0
648.267,0.0
658.315,0.0
668.264,0.0
678.265,0.0
688.266,0.02
698.264,0.0
708.264,0.0
718.268,0.0
728.27,0.0
738.263,0.0
748.265,0.0
758.266,0.0
768.265,0.0
778.309,0.0
788.264,0.0
798.264,0.0
808.264,0.0
818.266,0.0
828.266,0.0
838.264,0.0
848.264,0.0
858.267,0.0
868.266,0.0
878.266,0.0
888.267,0.0
898.31,0.0
908.265,0.0
918.271,0.0
928.265,0.0
938.266,0.0
948.267,0.0
958.262,0.0
968.264,0.0
978.265,0.0
988.265,0.0
998.266,0.0
1008.265,0.0
1018.307,0.0
1028.265,0.0
1038.266,0.0
1048.266,0.0
1058.267,0.0
1068.27,0.0
1078.266,0.0
1088.267,0.0
1098.268,0.0
1108.267,0.0
1118.268,0.0
1128.268,0.0
1138.306,0.0
1148.267,0.0
1158.268,0.0
1168.277,0.0
1178.266,0.0
1188.267,0.0
1198.267,0.0
1208.265,0.0
1218.267,0.0
1228.266,0.0
1238.268,0.0
1248.27,0.0
1258.31,0.0
1268.267,0.0
1278.268,0.0
1288.267,0.0
1298.267,0.0
1308.268,0.0
1318.267,0.0
1328.266,0.0
1338.266,0.0
1348.266,0.0
1358.268,0.0
1368.267,0.0
1378.308,0.0
1388.266,0.0
1398.271,0.0
1408.27,0.0
1418.269,0.0
1428.267,0.0
1438.289,0.0
1448.268,0.0
1458.269,0.0
1468.27,0.0
1478.269,0.0
1488.267,0.0
1498.303,0.0
1508.271,0.0
1518.271,0.0
1528.269,0.0
1538.277,0.0
1548.271,0.0
1558.272,0.0
1568.269,0.0
1578.274,0.0
1588.285,0.0
1598.269,0.0
1608.273,0.0
1618.323,0.0
1628.276,0.0
1638.272,0.0
1648.27,0.0
1658.272,0.0
1668.274,0.0
1678.29,0.0
1688.273,0.0
1698.271,0.0
1708.272,0.0
1718.273,0.0
1728.273,0.0
1738.312,0.0
1748.274,0.0
1758.274,0.0
1768.273,0.0
1778.275,0.0
1788.272,0.0
1798.271,0.0
1808.271,0.0
1818.272,0.0
1828.276,0.0
1838.281,0.0
1848.274,0.0
1858.322,0.0
1868.273,0.0
1878.276,0.0
1888.273,0.0
1898.277,0.02
1908.273,0.02
1918.274,0.02
1928.281,0.03
1938.274,0.0
1948.276,0.03
1958.274,0.03
1968.277,0.03
1978.351,0.03
1988.28,0.03
1998.278,0.0
2008.275,0.0
2018.275,0.0
2028.275,0.0
2038.277,0.0
2048.274,0.0
2058.277,0.0
2068.278,0.0
2078.276,0.0
2088.275,0.0
2098.309,0.0
2108.274,0.0
2118.274,0.0
2128.276,0.0
2138.276,0.0
2148.277,0.0
2158.314,0.0
2168.274,0.0
2178.275,0.0
2188.274,0.0
2198.274,0.0
2208.274,0.0
2214.266,0.0
2228.274,0.0
2238.282,0.0
2248.275,0.0
2258.283,0.0
2268.28,0.0
2274.263,0.0
2288.273,0.0
2298.299,0.0
2308.274,0.0
2318.282,0.0
2328.276,0.0
2334.283,0.0
2348.275,0.0
2358.275,0.0
2368.276,0.0
2378.277,0.0
2388.276,0.0
2398.277,0.0
2408.275,0.0
2418.275,0.0
2428.276,0.0
2438.282,0.0
2448.282,0.0
2454.277,0.0
2468.284,0.0
2478.28,0.0
2488.281,0.0
2498.28,0.0
2508.278,0.0
2514.265,0.0
2528.285,0.0
2538.28,0.0
2548.284,0.0
2558.28,0.0
2568.281,0.0
2574.269,0.0
2588.283,0.0
2598.279,0.0
2608.279,0.0
2618.28,0.0
2628.284,0.0
2638.283,0.0
2648.283,0.0
2658.282,0.0
2668.28,0.0
2678.281,0.0
2688.282,0.0
2694.272,0.0
2708.283,0.0
2718.278,0.0
2728.283,0.0
2738.283,0.0
2748.282,0.0
2758.28,0.0
2768.285,0.0
2778.282,0.0
2788.283,0.0
2798.283,0.0
2808.283,0.0
2814.277,0.0
2828.285,0.0
2838.282,0.0
2848.284,0.03
2858.29,0.03
2868.294,0.01
2878.308,0.0
2888.292,0.0
2898.287,0.04
2908.294,0.0
2918.289,0.03
2928.289,0.03
2938.332,0.03
2948.291,0.03
2958.287,0.03
2968.29,0.03
2978.303,0.03
2988.295,0.03
2998.288,0.03
3008.288,0.03
3018.288,0.03
3028.291,0.03
3038.29,0.03
3048.287,0.03
3058.333,0.03
3068.288,0.03
3078.288,0.03
3088.286,0.03
3098.288,0.03
3108.288,0.03
3118.292,0.03
3128.289,0.03
3138.298,0.03
3148.288,0.03
3158.295,0.03
3168.301,0.03
3178.348,0.03
3188.291,0.03
3198.29,0.03
3208.288,0.03
3218.29,0.03
3228.289,0.03
3238.289,0.03
3248.291,0.03
3258.29,0.03
3268.288,0.03
3278.295,0.03
3288.291,0.03
3298.343,0.03
3308.288,0.03
3318.289,0.03
3328.291,0.03
3338.29,0.03
3348.289,0.03
3358.287,0.03
3368.291,0.03
3378.289,0.03
3388.29,0.03
3398.291,0.03
3408.298,0.03
3418.353,0.03
3428.293,0.03
3438.29,0.03
3448.29,0.03
3458.292,0.03
3468.29,0.03
3478.29,0.04
3488.29,0.03
3498.29,0.03
3508.291,0.03
3518.29,0.03
3528.292,0.04
3538.359,0.03
3548.29,0.03
3558.291,0.03
3568.29,0.03
3578.29,0.03
3588.291,0.03
3598.291,0.03
3608.293,0.03
3618.291,0.03
3628.295,0.03
3638.289,0.03
3648.292,0.03
3658.344,0.03
3668.291,0.03
3678.288,0.03
3688.293,0.03
3698.292,0.03
3708.29,0.03
3718.288,0.03
3728.288,0.03
3738.291,0.03
3748.29,0.03
3758.289,0.03
3768.291,0.03
3778.339,0.03
3788.293,0.03
3798.289,0.03
3808.291,0.03
3818.288,0.03
3828.288,0.03
3838.288,0.03
3848.292,0.03
3858.29,0.03
3868.29,0.03
3878.289,0.04
3888.29,0.03
3894.274,0.03
