Point in Time[s],Utilization of Active Resource[]
5.647,0.0
15.666,0.0
25.687,0.02
35.705,0.02
45.728,0.0
55.754,0.0
64.547,0.02
75.604,0.03
85.62,0.0
95.644,0.03
105.675,0.03
115.696,0.03
125.713,0.03
135.739,0.03
144.656,0.03
155.608,0.03
165.631,0.03
175.652,0.0
185.669,0.0
195.695,0.0
205.712,0.0
215.734,0.0
225.767,0.0
235.783,0.0
244.545,0.0
254.566,0.0
264.585,0.0
274.605,0.0
284.628,0.0
295.651,0.0
305.673,0.0
315.693,0.0
325.71,0.0
335.729,0.0
345.751,0.0
355.768,0.0
364.55,0.0
374.569,0.0
384.673,0.0
394.69,0.0
404.714,0.0
415.651,0.0
425.667,0.0
435.682,0.0
445.703,0.0
455.72,0.0
465.747,0.0
475.768,0.0
485.654,0.0
495.669,0.0
505.685,0.0
515.723,0.0
525.757,0.0
535.776,0.0
544.678,0.0
555.657,0.0
565.675,0.0
575.694,0.0
585.721,0.0
595.738,0.0
605.758,0.0
615.667,0.0
625.684,0.0
635.705,0.01
645.727,0.0
655.742,0.0
665.761,0.0
674.676,0.0
684.692,0.04
694.712,0.03
706.797,0.04
714.755,0.05
725.663,0.03
735.679,0.03
745.693,0.05
755.729,0.04
765.743,0.03
774.693,0.03
784.708,0.03
794.727,0.03
804.744,0.03
814.761,0.03
825.633,0.03
835.695,0.03
845.741,0.03
855.758,0.03
865.627,0.03
875.647,0.03
885.669,0.03
895.688,0.03
905.705,0.03
915.724,0.03
925.74,0.03
935.755,0.03
945.649,0.03
955.672,0.03
965.687,0.03
975.708,0.03
985.724,0.03
995.751,0.03
1005.773,0.03
1015.683,0.03
1025.699,0.03
1035.748,0.03
1045.764,0.03
1054.599,0.03
1064.629,0.03
1075.663,0.03
1085.678,0.03
1095.702,0.03
1105.724,0.03
1115.748,0.03
1125.772,0.03
1134.615,0.03
1144.701,0.03
1154.748,0.03
1164.762,0.03
1174.787,0.03
1184.823,0.03
1195.666,0.03
1205.681,0.03
1215.703,0.03
1225.72,0.03
1235.743,0.03
1245.768,0.03
1255.638,0.03
1265.673,0.03
1275.694,0.03
1285.708,0.03
1295.73,0.03
1305.756,0.03
1315.78,0.03
1325.696,0.04
1335.717,0.03
1345.734,0.03
1355.759,0.03
1365.779,0.03
1375.641,0.03
1385.656,0.03
1395.677,0.03
1405.693,0.03
1415.712,0.03
1425.741,0.03
1435.77,0.03
1445.636,0.03
1455.66,0.03
1465.699,0.03
1475.725,0.03
1485.748,0.03
1495.816,0.03
1505.64,0.03
1515.693,0.03
1525.709,0.03
1535.737,0.03
1545.773,0.03
1555.803,0.03
1565.684,0.03
1575.701,0.03
1585.725,0.03
1595.744,0.03
1605.773,0.03
1615.682,0.03
1625.708,0.03
1635.723,0.03
1645.75,0.03
1655.774,0.03
1665.656,0.03
1675.672,0.03
1685.693,0.03
1695.706,0.03
1705.726,0.03
1715.747,0.03
1725.774,0.03
1735.649,0.03
1745.7,0.03
1755.717,0.04
1765.74,0.03
1775.757,0.03
1785.785,0.03
1795.806,0.03
1805.644,0.03
1815.662,0.03
1825.685,0.03
1835.702,0.03
1845.732,0.03
1855.748,0.03
1865.772,0.03
1875.645,0.03
1885.659,0.03
1895.693,0.03
1905.723,0.03
1915.74,0.03
1925.755,0.03
1935.773,0.03
1945.794,0.03
1955.649,0.03
1965.671,0.03
1975.704,0.03
1985.72,0.03
1995.735,0.03
2005.754,0.03
2015.794,0.03
2025.835,0.03
2035.853,0.03
2045.876,0.03
2055.653,0.03
2065.698,0.03
2075.716,0.03
2085.743,0.03
2095.759,0.03
2105.775,0.03
2115.69,0.03
2125.714,0.03
2135.731,0.03
2145.768,0.03
2155.787,0.03
2165.809,0.03
2175.691,0.03
2185.709,0.03
2195.741,0.03
2205.777,0.03
2215.794,0.03
2225.818,0.03
2235.696,0.03
2245.723,0.03
2255.74,0.03
2265.774,0.03
2275.789,0.03
2285.812,0.03
2295.653,0.03
2305.669,0.03
2315.688,0.03
2325.733,0.03
2335.748,0.03
2345.768,0.03
2355.783,0.03
2365.804,0.04
2375.697,0.03
2385.734,0.03
2395.752,0.03
2405.775,0.03
2415.79,0.03
2425.813,0.03
2434.721,0.03
2444.745,0.03
2455.709,0.03
2465.731,0.03
2475.748,0.03
2485.773,0.03
2495.79,0.03
2505.811,0.03
2515.827,0.03
2525.849,0.03
2534.707,0.03
2544.726,0.03
2555.704,0.03
2565.733,0.03
2575.752,0.03
2585.773,0.03
2595.787,0.03
2605.81,0.03
2614.603,0.03
2624.636,0.03
2635.73,0.03
2645.758,0.03
2655.773,0.03
2665.793,0.03
2674.601,0.03
2684.628,0.03
2694.645,0.03
2704.668,0.03
2714.685,0.03
2724.704,0.03
2735.713,0.03
2745.756,0.03
2755.772,0.03
2765.799,0.03
2774.609,0.03
2784.701,0.03
2794.72,0.03
2804.743,0.03
2814.758,0.03
2824.775,0.03
2835.741,0.03
2845.767,0.03
2855.784,0.03
2865.823,0.03
2875.845,0.0
2884.615,0.0
2894.638,0.0
2904.656,0.0
2915.715,0.0
2925.745,0.0
2935.761,0.0
2945.782,0.0
2955.799,0.0
2965.823,0.0
2975.711,0.0
2985.748,0.0
2995.765,0.0
3005.792,0.0
3015.808,0.0
3025.531,0.0
3035.735,0.0
3045.777,0.0
3055.797,0.0
3065.833,0.0
3075.722,0.0
3085.746,0.0
3095.762,0.0
3105.797,0.0
3115.821,0.0
3124.641,0.0
3135.716,0.0
3145.732,0.02
3155.751,0.0
3165.77,0.0
3175.786,0.0
3185.801,0.0
3195.817,0.0
3205.727,0.0
3215.743,0.0
3225.768,0.0
3235.783,0.0
3245.802,0.0
3255.821,0.0
3265.735,0.0
3275.753,0.0
3285.775,0.0
3295.79,0.0
3305.806,0.0
3315.824,0.0
3325.732,0.0
3335.75,0.0
3345.789,0.0
3355.806,0.0
3365.83,0.0
3374.739,0.0
3384.764,0.0
3394.781,0.0
3404.808,0.0
3414.825,0.0
3424.853,0.0
3435.742,0.0
3445.766,0.0
3455.783,0.0
3465.818,0.0
3475.84,0.0
3484.735,0.0
3495.684,0.0
3505.711,0.0
3515.732,0.0
3525.759,0.0
3535.773,0.0
3545.793,0.0
3555.808,0.0
3565.83,0.0
3574.731,0.0
3585.704,0.0
3595.762,0.0
3605.787,0.0
3615.802,0.0
3625.821,0.0
3635.835,0.0
3644.658,0.0
3654.753,0.0
3664.777,0.0
3674.795,0.0
3684.817,0.0
3694.831,0.0
3704.859,0.0
3714.875,0.0
3724.898,0.0
3734.915,0.0
3745.744,0.0
3755.761,0.0
3765.788,0.0
3775.804,0.0
3785.83,0.0
3795.845,0.0
3804.646,0.0
3814.757,0.0
3824.799,0.01
3834.815,0.0
3845.746,0.0
3855.763,0.0
3865.791,0.0
3875.822,0.0
3885.856,0.0
3894.638,0.0
3904.669,0.0
3914.686,0.0
3924.709,0.0
3935.743,0.0
3945.784,0.01
3955.803,0.0
3965.824,0.0
3975.84,0.0
3985.75,0.0
3995.765,0.0
4005.794,0.0
4015.818,0.0
4025.838,0.0
4035.754,0.0
4045.775,0.0
4055.799,0.0
4065.835,0.0
4075.855,0.0
4085.706,0.0
4095.729,0.0
4105.747,0.0
4115.769,0.0
4125.791,0.0
4135.813,0.0
4145.83,0.0
4155.852,0.0
4164.764,0.0
4174.783,0.0
4184.816,0.01
4195.741,0.0
4205.76,0.0
4215.78,0.0
4225.797,0.0
4235.812,0.0
4245.837,0.0
4255.853,0.0
4264.655,0.0
4274.672,0.0
4284.689,0.0
4294.707,0.0
4305.746,0.0
4315.769,0.0
4325.785,0.0
4335.809,0.0
4345.825,0.0
4355.843,0.0
4365.866,0.0
4375.887,0.0
4384.615,0.0
4394.662,0.0
4404.677,0.0
4414.693,0.0
4424.794,0.0
4434.811,0.0
4444.829,0.0
4454.846,0.0
4465.726,0.0
4475.742,0.0
4485.758,0.0
4495.774,0.0
4505.791,0.0
4515.807,0.0
4525.823,0.0
4535.841,0.0
4545.861,0.0
4555.882,0.0
4564.789,0.0
4574.815,0.0
4584.837,0.0
4594.861,0.0
4604.883,0.0
4614.912,0.0
4624.931,0.0
4634.95,0.0
4645.773,0.0
4655.797,0.0
4665.829,0.0
4675.852,0.0
4685.868,0.0
4695.896,0.0
4704.778,0.0
4714.814,0.0
4724.839,0.0
4734.863,0.0
4745.788,0.0
4755.812,0.0
4765.833,0.0
4775.852,0.0
4785.882,0.0
4795.909,0.0
4804.795,0.01
4814.817,0.0
4824.838,0.0
4834.863,0.0
4845.787,0.0
4855.807,0.0
4865.828,0.0
4875.852,0.0
4885.868,0.0
4895.894,0.0
4906.46,0.0
4914.726,0.0
4924.743,0.04
4934.763,0.0
4945.783,0.0
4955.805,0.0
4965.833,0.0
4975.86,0.0
4985.88,0.0
4995.912,0.0
5004.683,0.0
5014.711,0.0
5024.747,0.0
5034.763,0.0
5045.784,0.0
5055.81,0.0
5065.838,0.0
5075.86,0.0
5085.882,0.0
5095.911,0.0
5104.797,0.0
5114.821,0.0
5124.838,0.0
5134.865,0.0
5144.898,0.0
5154.921,0.0
5164.942,0.0
5174.964,0.0
5184.983,0.0
5195.006,0.0
5205.025,0.0
5215.048,0.0
5225.068,0.0
5235.094,0.0
5245.114,0.0
5255.139,0.0
5265.162,0.0
5275.185,0.0
5285.203,0.0
5295.229,0.01
5305.247,0.0
5315.271,0.0
5325.289,0.0
5335.322,0.0
5345.791,0.0
5355.819,0.0
5365.837,0.0
5375.859,0.0
5385.876,0.0
5395.913,0.0
5404.69,0.0
5414.713,0.0
5424.73,0.0
5434.755,0.0
5445.804,0.0
5455.825,0.0
5465.841,0.0
5475.863,0.0
5485.881,0.0
5495.905,0.0
5504.835,0.0
5514.863,0.0
5525.8,0.0
5535.822,0.0
5545.838,0.0
5555.861,0.0
5565.884,0.0
5575.905,0.0
5585.8,0.0
5595.82,0.0
5605.838,0.0
5615.859,0.0
5625.888,0.0
5635.908,0.0
5645.763,0.0
5655.781,0.0
5665.799,0.0
5675.827,0.0
5685.851,0.0
5695.871,0.0
5705.889,0.0
5715.309,0.0
5725.762,0.0
5735.783,0.0
5745.816,0.0
5755.842,0.0
5765.858,0.0
5775.879,0.0
5785.899,0.0
5795.558,0.0
5805.786,0.0
5815.811,0.0
5825.828,0.0
5835.849,0.0
5845.865,0.0
5855.886,0.0
5865.985,0.0
5874.745,0.0
5885.765,0.0
5895.819,0.0
5905.838,0.0
5915.855,0.0
5925.879,0.0
5935.898,0.0
5944.826,0.0
5955.816,0.0
5965.834,0.01
5975.849,0.0
5985.873,0.0
5995.896,0.0
6005.812,0.0
6015.831,0.0
6025.863,0.0
6035.881,0.0
6045.908,0.0
6055.83,0.0
6065.849,0.0
6075.866,0.0
6085.882,0.0
6095.899,0.0
6104.857,0.0
6114.884,0.0
6124.9,0.0
6134.923,0.0
6144.941,0.0
6155.824,0.0
6165.846,0.0
6175.864,0.0
6185.881,0.0
6195.91,0.0
6204.721,0.0
6214.739,0.0
6224.846,0.0
6234.864,0.0
6244.882,0.0
6255.821,0.0
6265.844,0.0
6275.861,0.0
6285.888,0.0
6295.906,0.0
6304.718,0.0
6315.832,0.0
6325.849,0.0
6335.873,0.0
6345.907,0.0
6355.928,0.0
6365.779,0.0
6375.799,0.0
6385.815,0.0
6395.854,0.0
6405.881,0.0
6415.915,0.0
6425.937,0.0
6434.841,0.0
6444.857,0.0
6455.838,0.0
6465.874,0.0
6475.906,0.0
6485.923,0.0
6494.84,0.0
6504.859,0.0
6514.886,0.0
6524.908,0.0
6534.931,0.0
6544.952,0.0
6555.842,0.0
6565.857,0.0
6575.881,0.0
6585.913,0.0
6595.947,0.0
6604.734,0.0
6614.76,0.0
6624.837,0.0
6634.861,0.0
6644.884,0.0
6654.907,0.0
6664.926,0.0
6675.846,0.0
6685.866,0.0
6695.899,0.0
6705.922,0.0
6715.955,0.0
6724.842,0.0
6734.864,0.0
6744.914,0.0
6755.795,0.0
6765.815,0.0
6775.839,0.0
6785.855,0.0
6795.879,0.0
6805.9,0.0
6815.924,0.0
6826.495,0.0
6835.83,0.0
6845.847,0.0
6855.87,0.0
6865.887,0.0
6875.918,0.0
6885.945,0.0
6894.74,0.0
6904.755,0.0
6914.847,0.0
6924.862,0.0
6934.888,0.0
6944.92,0.0
6954.945,0.0
6965.84,0.0
6975.867,0.0
6985.885,0.0
6995.908,0.0
7005.925,0.0
7014.743,0.0
7024.849,0.0
7034.881,0.0
7044.901,0.0
7054.932,0.0
7065.994,0.0
7076.018,0.0
7084.741,0.0
7094.77,0.0
7104.786,0.0
7114.838,0.0
7124.859,0.0
7134.883,0.0
7144.898,0.0
7155.85,0.0
7165.868,0.0
7175.895,0.0
7185.924,0.0
7195.947,0.0
7204.739,0.0
7214.857,0.0
7224.873,0.0
7234.897,0.0
7244.921,0.0
7255.829,0.0
7265.851,0.0
7275.877,0.0
7285.894,0.0
7295.917,0.0
7305.955,0.0
7315.972,0.0
7324.745,0.0
7334.77,0.0
7344.789,0.0
7355.853,0.0
7365.886,0.0
7375.901,0.0
7385.924,0.0
7395.946,0.0
7404.857,0.0
7414.875,0.0
7424.914,0.0
7434.93,0.0
7444.948,0.0
7455.866,0.0
7465.888,0.0
7475.905,0.0
7485.93,0.0
7495.947,0.0
7505.864,0.0
7515.885,0.0
7525.909,0.0
7535.945,0.0
7545.986,0.0
7556.004,0.0
7564.914,0.0
7575.879,0.0
7585.902,0.0
7595.92,0.0
7605.948,0.0
7615.813,0.0
7625.837,0.0
