Point in Time[s],Power Consumption[W]
3.937,96.0
13.805,83.0
23.825,102.0
33.839,83.0
44.156,94.0
53.345,83.0
64.17,82.0
73.389,83.0
84.185,86.0
93.402,83.0
104.2,83.0
113.346,126.0
124.215,108.0
133.7,84.0
143.723,103.0
153.737,126.0
164.363,91.0
173.319,102.0
184.357,140.0
193.427,89.0
204.372,85.0
213.525,85.0
223.315,83.0
233.332,109.0
244.402,91.0
253.72,106.0
264.615,136.0
273.485,131.0
284.654,132.0
293.334,128.0
304.672,110.0
313.403,83.0
324.686,84.0
333.498,116.0
344.7,133.0
353.384,86.0
364.716,90.0
373.8,81.0
383.419,84.0
393.433,89.0
404.861,92.0
413.357,99.0
424.876,92.0
433.318,92.0
444.891,91.0
453.418,138.0
464.906,141.0
473.346,104.0
484.92,114.0
493.766,89.0
505.039,90.0
513.451,89.0
525.077,90.0
533.34,104.0
545.091,95.0
553.515,88.0
565.109,85.0
573.447,93.0
585.124,114.0
593.363,133.0
605.14,99.0
613.8,91.0
623.82,118.0
633.833,81.0
645.257,83.0
653.351,83.0
665.275,83.0
673.41,84.0
685.287,84.0
693.416,92.0
705.302,103.0
713.351,111.0
725.321,115.0
735.338,88.0
743.676,101.0
753.69,96.0
765.506,83.0
773.386,82.0
785.521,84.0
793.474,86.0
805.535,96.0
813.454,90.0
823.384,96.0
833.404,96.0
845.566,107.0
853.723,110.0
863.762,83.0
873.776,83.0
885.87,101.0
893.396,138.0
905.886,135.0
913.541,130.0
925.933,127.0
933.505,136.0
945.919,108.0
953.352,111.0
965.931,129.0
973.757,81.0
983.778,101.0
993.472,114.0
1003.449,83.0
1017.527,86.0
1026.247,86.0
1033.433,88.0
1046.263,85.0
1053.433,84.0
1066.276,94.0
1077.906,123.0
1086.293,135.0
1096.309,92.0
1103.704,92.0
1113.428,102.0
1126.59,84.0
1137.525,102.0
1146.604,88.0
1153.536,89.0
1166.621,104.0
1173.45,94.0
1186.635,94.0
1197.759,138.0
1206.65,97.0
1213.749,102.0
1226.915,93.0
1233.539,172.0
1246.957,125.0
1257.639,135.0
1266.972,102.0
1273.468,130.0
1286.987,108.0
1293.447,103.0
1307.002,89.0
1317.779,95.0
1327.016,123.0
1334.241,118.0
1343.552,107.0
1354.4,115.0
1367.171,89.0
1377.536,101.0
1387.186,103.0
1393.449,92.0
1407.203,86.0
1413.439,83.0
1427.216,81.0
1437.856,136.0
1447.231,95.0
1454.434,94.0
1467.528,94.0
1473.475,92.0
1487.576,86.0
1497.557,104.0
1503.315,87.0
1513.444,92.0
1527.605,84.0
1533.464,83.0
1543.355,88.0
1557.818,147.0
1567.635,91.0
1573.9,110.0
1587.779,120.0
1593.631,135.0
1607.821,177.0
1612.848,124.0
1623.46,99.0
1633.452,145.0
1647.851,124.0
1653.477,137.0
1668.176,174.0
1677.958,151.0
1688.224,147.0
1695.831,175.0
1703.445,161.0
1713.478,171.0
1723.446,149.0
1733.368,162.0
1743.485,153.0
1753.47,141.0
1763.456,142.0
1773.466,147.0
1783.464,154.0
1793.359,174.0
1804.129,139.0
1814.021,149.0
1823.527,179.0
1833.525,150.0
1843.341,144.0
1853.374,148.0
1863.466,149.0
1873.449,145.0
1883.446,149.0
1893.447,150.0
1903.473,157.0
1913.373,163.0
1924.756,151.0
1934.275,97.0
1943.731,117.0
1953.761,123.0
1963.471,190.0
1973.41,154.0
1983.447,149.0
1993.449,154.0
2003.438,153.0
2013.479,165.0
2023.55,172.0
2032.992,153.0
2043.82,154.0
2056.214,150.0
2063.82,145.0
2073.459,134.0
2083.482,140.0
2093.398,144.0
2103.453,146.0
2113.47,149.0
2123.49,143.0
2133.439,142.0
2143.668,147.0
2153.408,166.0
2163.458,148.0
2173.844,177.0
2183.914,167.0
2193.754,140.0
2203.776,151.0
2213.402,149.0
2223.492,151.0
2233.554,167.0
2244.447,153.0
2253.403,153.0
2263.495,158.0
2273.403,182.0
2284.107,175.0
2293.96,149.0
2303.979,149.0
2315.026,166.0
2323.538,168.0
2333.383,158.0
2343.493,151.0
2355.131,145.0
2363.454,151.0
2375.185,148.0
2383.553,161.0
2395.241,170.0
2403.377,146.0
2415.297,174.0
2425.321,149.0
2433.994,151.0
2444.017,149.0
2453.414,149.0
2463.441,153.0
2475.797,158.0
2483.468,146.0
2495.85,151.0
2503.493,146.0
2513.402,178.0
2523.746,150.0
2533.674,152.0
2543.692,160.0
2553.382,172.0
2563.49,148.0
2573.43,151.0
2583.507,148.0
2593.408,168.0
2603.53,163.0
2613.546,174.0
2623.373,179.0
2633.41,149.0
2644.559,180.0
2653.712,172.0
2664.15,167.0
2673.999,177.0
2683.478,180.0
2693.456,184.0
2703.549,182.0
2717.078,183.0
2723.486,180.0
2737.132,181.0
2743.47,153.0
2753.412,151.0
2763.862,152.0
2773.885,141.0
2783.35,141.0
2793.484,149.0
2803.471,151.0
2813.419,168.0
2823.478,151.0
2833.502,151.0
2843.491,149.0
2853.498,146.0
2863.343,149.0
2878.613,172.0
2883.648,148.0
2894.794,154.0
2903.653,174.0
2913.68,149.0
2923.509,167.0
2933.403,152.0
2943.622,154.0
2953.704,153.0
2963.621,152.0
2973.523,151.0
2983.524,151.0
2993.416,174.0
3003.884,154.0
3013.766,148.0
3023.534,165.0
3033.615,172.0
3043.599,172.0
3053.42,174.0
3063.537,146.0
3073.608,145.0
3083.525,158.0
3093.485,148.0
3103.566,171.0
3118.806,170.0
3123.841,176.0
3134.059,148.0
3147.674,151.0
3153.49,148.0
3163.507,154.0
3173.398,174.0
3183.416,153.0
3193.374,164.0
3203.499,157.0
3213.488,151.0
3223.488,154.0
3233.416,169.0
3243.766,146.0
3256.777,146.0
3263.834,139.0
3273.517,146.0
3283.577,144.0
3293.445,146.0
3303.628,148.0
3313.492,159.0
3323.676,145.0
3333.501,145.0
3343.532,151.0
3353.225,145.0
3363.783,169.0
3373.872,153.0
3383.977,149.0
3393.742,151.0
3405.066,152.0
3413.447,163.0
3425.119,151.0
3433.529,149.0
3445.172,149.0
3453.495,153.0
3463.533,151.0
3473.557,173.0
3485.282,140.0
3493.958,161.0
3503.983,155.0
3513.538,155.0
3525.952,148.0
3533.443,148.0
3546.006,148.0
3553.656,172.0
3563.472,145.0
3573.524,146.0
3583.554,150.0
3593.584,166.0
3606.168,169.0
3614.093,168.0
3624.115,164.0
3634.145,175.0
3646.586,174.0
3657.602,168.0
3666.678,176.0
3673.526,165.0
3686.732,167.0
3693.608,175.0
3706.81,148.0
3718.01,162.0
3726.841,152.0
3737.336,149.0
3747.402,146.0
3753.539,147.0
3767.493,177.0
3777.703,167.0
3787.544,173.0
3793.514,175.0
3803.517,175.0
3813.5,176.0
3827.649,177.0
3833.399,173.0
3843.442,149.0
3853.809,154.0
3864.821,107.0
3873.689,148.0
3883.521,148.0
3893.45,146.0
