Point in Time[s],Power Consumption[W]
8.693,90.0
18.704,50.0
28.714,51.0
36.142,95.0
48.303,59.0
58.313,54.0
68.327,79.0
78.338,52.0
88.349,66.0
98.36,103.0
108.376,85.0
118.387,50.0
128.399,50.0
138.411,55.0
148.425,49.0
155.628,48.0
168.448,92.0
178.46,55.0
188.472,49.0
198.484,53.0
208.496,91.0
215.754,106.0
228.522,49.0
238.532,49.0
248.545,51.0
258.556,49.0
268.567,49.0
275.892,97.0
288.592,49.0
298.605,49.0
308.629,66.0
318.639,55.0
328.65,54.0
336.009,122.0
348.673,134.0
358.683,121.0
368.694,69.0
378.704,121.0
388.716,95.0
396.174,72.0
408.308,110.0
418.322,108.0
428.331,128.0
438.343,109.0
448.353,110.0
455.552,124.0
468.376,109.0
478.385,108.0
488.396,112.0
498.406,100.0
508.417,128.0
515.716,111.0
528.437,100.0
538.45,124.0
548.46,111.0
558.47,110.0
568.481,101.0
575.891,131.0
588.504,105.0
598.513,100.0
608.524,102.0
618.535,103.0
628.546,127.0
636.085,100.0
648.321,87.0
658.329,77.0
668.348,77.0
678.358,82.0
688.37,90.0
698.382,81.0
708.397,52.0
718.407,49.0
728.418,92.0
738.431,52.0
748.442,64.0
755.704,70.0
768.464,49.0
778.476,49.0
788.486,66.0
798.497,49.0
808.509,51.0
815.837,93.0
828.535,62.0
838.546,62.0
848.557,53.0
858.568,56.0
868.58,55.0
876.016,53.0
888.316,90.0
898.346,49.0
908.356,54.0
918.365,59.0
928.378,49.0
938.39,102.0
948.406,96.0
958.418,112.0
965.591,132.0
978.311,66.0
988.327,92.0
995.466,105.0
1008.351,110.0
1018.36,110.0
1028.376,111.0
1038.385,111.0
1048.401,110.0
1055.614,119.0
1068.427,111.0
1078.442,109.0
1088.455,105.0
1098.465,101.0
1108.482,105.0
1115.769,138.0
1128.509,101.0
1138.518,102.0
1148.536,100.0
1158.547,98.0
1168.564,100.0
1175.923,110.0
1188.586,106.0
1198.602,103.0
1208.613,101.0
1218.644,101.0
1228.657,102.0
1236.087,106.0
1248.317,100.0
1258.328,120.0
1268.344,122.0
1278.354,99.0
1285.639,101.0
1295.676,110.0
1308.389,111.0
1318.411,103.0
1328.427,103.0
1338.437,101.0
1348.458,100.0
1355.81,112.0
1368.313,100.0
1378.334,99.0
1388.344,119.0
1398.364,102.0
1408.376,126.0
1418.394,124.0
1428.409,105.0
1438.423,105.0
1448.433,103.0
1458.448,100.0
1468.46,97.0
1475.675,118.0
1488.493,103.0
1498.511,99.0
1508.521,105.0
1518.537,104.0
1528.547,102.0
1535.818,115.0
1548.574,102.0
1558.59,111.0
1568.604,99.0
1578.62,145.0
1588.641,144.0
1595.966,111.0
1608.32,108.0
1618.333,133.0
1628.354,127.0
1638.369,154.0
1648.378,149.0
1655.583,153.0
1668.402,142.0
1678.413,127.0
1688.426,145.0
1698.47,160.0
1708.479,146.0
1715.743,146.0
1728.502,140.0
1738.512,160.0
1748.521,131.0
1758.53,132.0
1768.541,139.0
1775.896,150.0
1788.564,140.0
1798.574,138.0
1808.586,140.0
1816.001,144.0
1828.323,134.0
1835.45,140.0
1848.371,148.0
1858.4,153.0
1868.413,145.0
1878.429,132.0
1888.442,149.0
1898.474,152.0
1908.486,147.0
1918.502,146.0
1928.512,145.0
1938.536,140.0
1948.548,143.0
