Point in Time[s],State of Active Resource[]
0.0,0
721.851,1
721.851,0
722.851,1
722.851,0
723.851,1
723.851,0
724.851,1
724.851,0
725.851,1
725.851,0
726.851,1
726.851,0
727.851,1
727.851,0
728.851,1
728.851,0
729.851,1
729.851,0
730.851,1
730.851,0
731.851,1
731.851,0
732.851,1
732.851,0
733.851,1
733.851,0
734.851,1
734.851,0
735.851,1
735.851,0
736.851,1
736.851,0
737.851,1
737.851,0
738.851,1
738.851,0
739.851,1
739.851,0
740.851,1
740.851,0
741.851,1
741.851,0
742.851,1
742.851,0
743.851,1
743.851,0
744.851,1
744.851,0
745.851,1
745.851,0
746.851,1
746.851,0
747.851,1
747.851,0
748.851,1
748.851,0
749.851,1
749.851,0
750.851,1
750.851,0
751.851,1
751.851,0
752.851,1
752.851,0
753.851,1
753.851,0
754.851,1
754.851,0
755.851,1
755.851,0
756.851,1
756.851,0
757.851,1
757.851,0
758.851,1
758.851,0
759.851,1
759.851,0
760.851,1
760.851,0
761.851,1
761.851,0
762.851,1
762.851,0
763.851,1
763.851,0
764.851,1
764.851,0
765.851,1
765.851,0
766.851,1
766.851,0
767.851,1
767.851,0
768.851,1
768.851,0
769.851,1
769.851,0
770.851,1
770.851,0
771.851,1
771.851,0
772.851,1
772.851,0
773.851,1
773.851,0
774.851,1
774.851,0
775.851,1
775.851,0
776.851,1
776.851,0
777.851,1
777.851,0
778.851,1
778.851,0
779.851,1
779.851,0
780.851,1
780.851,0
781.851,1
781.851,0
782.851,1
782.851,0
782.926649055,1
782.927508221,0
783.851,1
783.851,0
783.926649055,1
783.927508221,0
784.851,1
784.851,0
784.926649055,1
784.927508221,0
785.851,1
785.851,0
785.926649055,1
785.927508221,0
786.851,1
786.851,0
786.926649055,1
786.927508221,0
787.851,1
787.851,0
787.926649055,1
787.927508221,0
788.851,1
788.851,0
788.926649055,1
788.927508221,0
789.851,1
789.851,0
789.926649055,1
789.927508221,0
790.851,1
790.851,0
790.926649055,1
790.927508221,0
791.851,1
791.851,0
791.926649055,1
791.927508221,0
792.851,1
792.851,0
792.926649055,1
792.927508221,0
793.851,1
793.851,0
793.926649055,1
793.927508221,0
794.851,1
794.851,0
794.926649055,1
794.927508221,0
795.851,1
795.851,0
795.926649055,1
795.927508221,0
796.851,1
796.851,0
796.926649055,1
796.927508221,0
797.851,1
797.851,0
797.926649055,1
797.927508221,0
798.851,1
798.851,0
798.926649055,1
798.927508221,0
799.851,1
799.851,0
799.926649055,1
799.927508221,0
800.851,1
800.851,0
800.926649055,1
800.927508221,0
801.851,1
801.851,0
801.926649055,1
801.927508221,0
802.851,1
802.851,0
802.926649055,1
802.927508221,0
803.851,1
803.851,0
803.926649055,1
803.927508221,0
804.851,1
804.851,0
804.926649055,1
804.927508221,0
805.851,1
805.851,0
805.926649055,1
805.927508221,0
806.851,1
806.851,0
806.926649055,1
806.927508221,0
807.851,1
807.851,0
807.926649055,1
807.927508221,0
808.851,1
808.851,0
808.926649055,1
808.927508221,0
809.851,1
809.851,0
809.926649055,1
809.927508221,0
810.851,1
810.851,0
810.926649055,1
810.927508221,0
811.851,1
811.851,0
811.926649055,1
811.927508221,0
812.851,1
812.851,0
812.926649055,1
812.927508221,0
813.851,1
813.851,0
813.926649055,1
813.927508221,0
814.851,1
814.851,0
814.926649055,1
814.927508221,0
815.851,1
815.851,0
815.926649055,1
815.927508221,0
816.851,1
816.851,0
816.926649055,1
816.927508221,0
817.851,1
817.851,0
817.926649055,1
817.927508221,0
818.851,1
818.851,0
818.926649055,1
818.927508221,0
819.851,1
819.851,0
819.926649055,1
819.927508221,0
820.851,1
820.851,0
820.926649055,1
820.927508221,0
821.851,1
821.851,0
821.926649055,1
821.927508221,0
822.851,1
822.851,0
822.926649055,1
822.927508221,0
823.851,1
823.851,0
823.926649055,1
823.927508221,0
824.851,1
824.851,0
824.926649055,1
824.927508221,0
825.851,1
825.851,0
825.926649055,1
825.927508221,0
826.851,1
826.851,0
826.926649055,1
826.927508221,0
827.851,1
827.851,0
827.926649055,1
827.927508221,0
828.851,1
828.851,0
828.926649055,1
828.927508221,0
829.851,1
829.851,0
829.926649055,1
829.927508221,0
830.851,1
830.851,0
830.926649055,1
830.927508221,0
831.851,1
831.851,0
831.926649055,1
831.927508221,0
832.851,1
832.851,0
832.926649055,1
832.927508221,0
833.851,1
833.851,0
833.926649055,1
833.927508221,0
834.851,1
834.851,0
834.926649055,1
834.927508221,0
835.851,1
835.851,0
835.926649055,1
835.927508221,0
836.851,1
836.851,0
836.926649055,1
836.927508221,0
837.851,1
837.851,0
837.926649055,1
837.927508221,0
838.851,1
838.851,0
838.926649055,1
838.927508221,0
839.851,1
839.851,0
839.926649055,1
839.927508221,0
840.851,1
840.851,0
840.926649055,1
840.927508221,0
841.851,1
841.851,0
841.926649055,1
841.927508221,0
842.851,1
842.851,0
842.926649055,1
842.927508221,0
843.851,1
843.851,0
843.926649055,1
843.927508221,0
844.851,1
844.851,0
844.926649055,1
844.927508221,0
845.851,1
845.851,0
845.926649055,1
845.927508221,0
846.851,1
846.851,0
846.926649055,1
846.927508221,0
847.851,1
847.851,0
847.926649055,1
847.927508221,0
848.851,1
848.851,0
848.926649055,1
848.927508221,0
849.851,1
849.851,0
849.926649055,1
849.927508221,0
850.851,1
850.851,0
850.926649055,1
850.927508221,0
851.851,1
851.851,0
851.926649055,1
851.927508221,0
852.851,1
852.851,0
852.926649055,1
852.927508221,0
853.851,1
853.851,0
853.926649055,1
853.927508221,0
854.851,1
854.851,0
854.926649055,1
854.927508221,0
855.851,1
855.851,0
855.926649055,1
855.927508221,0
856.851,1
856.851,0
856.926649055,1
856.927508221,0
857.851,1
857.851,0
857.926649055,1
857.927508221,0
858.851,1
858.851,0
858.926649055,1
858.927508221,0
859.851,1
859.851,0
859.926649055,1
859.927508221,0
860.851,1
860.851,0
860.926649055,1
860.927508221,0
861.851,1
861.851,0
861.926649055,1
861.927508221,0
862.851,1
862.851,0
862.926649055,1
862.927508221,0
863.851,1
863.851,0
863.926649055,1
863.927508221,0
864.851,1
864.851,0
864.926649055,1
864.927508221,0
865.851,1
865.851,0
865.926649055,1
865.927508221,0
866.851,1
866.851,0
866.926649055,1
866.927508221,0
867.851,1
867.851,0
867.926649055,1
867.927508221,0
868.851,1
868.851,0
868.926649055,1
868.927508221,0
869.851,1
869.851,0
869.926649055,1
869.927508221,0
870.851,1
870.851,0
870.926649055,1
870.927508221,0
871.851,1
871.851,0
871.926649055,1
871.927508221,0
872.851,1
872.851,0
872.926649055,1
872.927508221,0
873.851,1
873.851,0
873.926649055,1
873.927508221,0
874.851,1
874.851,0
874.926649055,1
874.927508221,0
875.851,1
875.851,0
875.926649055,1
875.927508221,0
876.851,1
876.851,0
