Point in Time[s],State of Active Resource[]
0.0,0
41.804589557,1
41.804589557,0
42.804589557,1
42.804589557,0
43.804589557,1
43.804589557,0
44.804589557,1
44.804589557,0
45.804589557,1
45.804589557,0
46.804589557,1
46.804589557,0
47.804589557,1
47.804589557,0
48.804589557,1
48.804589557,0
49.804589557,1
49.804589557,0
50.804589557,1
50.804589557,0
51.804589557,1
51.804589557,0
52.804589557,1
52.804589557,0
53.804589557,1
53.804589557,0
54.804589557,1
54.804589557,0
55.804589557,1
55.804589557,0
56.804589557,1
56.804589557,0
57.804589557,1
57.804589557,0
58.804589557,1
58.804589557,0
59.804589557,1
59.804589557,0
60.804589557,1
60.804589557,0
61.804589557,1
61.804589557,0
62.804589557,1
62.804589557,0
63.804589557,1
63.804589557,0
64.804589557,1
64.804589557,0
65.804589557,1
65.804589557,0
66.804589557,1
66.804589557,0
67.804589557,1
67.804589557,0
68.804589557,1
68.804589557,0
69.804589557,1
69.804589557,0
70.804589557,1
70.804589557,0
71.804589557,1
71.804589557,0
72.804589557,1
72.804589557,0
73.804589557,1
73.804589557,0
74.804589557,1
74.804589557,0
75.804589557,1
75.804589557,0
76.804589557,1
76.804589557,0
77.804589557,1
77.804589557,0
78.804589557,1
78.804589557,0
79.804589557,1
79.804589557,0
80.804589557,1
80.804589557,0
81.804589557,1
81.804589557,0
82.804589557,1
82.804589557,0
83.804589557,1
83.804589557,0
84.804589557,1
84.804589557,0
85.804589557,1
85.804589557,0
86.804589557,1
86.804589557,0
87.804589557,1
87.804589557,0
88.804589557,1
88.804589557,0
89.804589557,1
89.804589557,0
90.804589557,1
90.804589557,0
91.804589557,1
91.804589557,0
92.804589557,1
92.804589557,0
93.804589557,1
93.804589557,0
94.804589557,1
94.804589557,0
95.804589557,1
95.804589557,0
96.804589557,1
96.804589557,0
97.804589557,1
97.804589557,0
98.804589557,1
98.804589557,0
99.804589557,1
99.804589557,0
100.804589557,1
100.804589557,0
101.804589557,1
101.804589557,0
102.804589557,1
102.804589557,0
103.804589557,1
103.804589557,0
104.804589557,1
104.804589557,0
105.804589557,1
105.804589557,0
106.804589557,1
106.804589557,0
107.804589557,1
107.804589557,0
108.804589557,1
108.804589557,0
109.804589557,1
109.804589557,0
110.804589557,1
110.804589557,0
111.804589557,1
111.804589557,0
112.804589557,1
112.804589557,0
113.804589557,1
113.804589557,0
114.804589557,1
114.804589557,0
115.804589557,1
115.804589557,0
116.804589557,1
116.804589557,0
117.804589557,1
117.804589557,0
118.804589557,1
118.804589557,0
119.804589557,1
119.804589557,0
120.804589557,1
120.804589557,0
121.804589557,1
121.804589557,0
122.804589557,1
122.804589557,0
123.804589557,1
123.804589557,0
124.804589557,1
124.804589557,0
125.804589557,1
125.804589557,0
126.804589557,1
126.804589557,0
127.804589557,1
127.804589557,0
128.804589557,1
128.804589557,0
129.804589557,1
129.804589557,0
130.804589557,1
130.804589557,0
131.804589557,1
131.804589557,0
132.804589557,1
132.804589557,0
133.804589557,1
133.804589557,0
134.804589557,1
134.804589557,0
135.804589557,1
135.804589557,0
136.804589557,1
136.804589557,0
137.804589557,1
137.804589557,0
138.804589557,1
138.804589557,0
139.804589557,1
139.804589557,0
140.804589557,1
140.804589557,0
141.804589557,1
141.804589557,0
142.804589557,1
142.804589557,0
143.804589557,1
143.804589557,0
144.804589557,1
144.804589557,0
145.804589557,1
145.804589557,0
146.804589557,1
146.804589557,0
147.804589557,1
147.804589557,0
148.804589557,1
148.804589557,0
149.804589557,1
149.804589557,0
150.804589557,1
150.804589557,0
151.804589557,1
151.804589557,0
152.804589557,1
152.804589557,0
153.804589557,1
153.804589557,0
154.804589557,1
154.804589557,0
155.804589557,1
155.804589557,0
156.804589557,1
156.804589557,0
157.804589557,1
157.804589557,0
158.804589557,1
158.804589557,0
159.804589557,1
159.804589557,0
160.804589557,1
160.804589557,0
161.804589557,1
161.804589557,0
162.804589557,1
162.804589557,0
163.804589557,1
163.804589557,0
164.804589557,1
164.804589557,0
165.804589557,1
165.804589557,0
166.804589557,1
166.804589557,0
167.804589557,1
167.804589557,0
168.804589557,1
168.804589557,0
169.804589557,1
169.804589557,0
170.804589557,1
170.804589557,0
171.804589557,1
171.804589557,0
172.804589557,1
172.804589557,0
173.804589557,1
173.804589557,0
174.804589557,1
174.804589557,0
175.804589557,1
175.804589557,0
176.804589557,1
176.804589557,0
177.804589557,1
177.804589557,0
178.804589557,1
178.804589557,0
179.804589557,1
179.804589557,0
180.804589557,1
180.804589557,0
181.804589557,1
181.804589557,0
182.804589557,1
182.804589557,0
183.804589557,1
183.804589557,0
184.804589557,1
184.804589557,0
185.804589557,1
185.804589557,0
186.804589557,1
186.804589557,0
187.804589557,1
187.804589557,0
188.804589557,1
188.804589557,0
189.804589557,1
189.804589557,0
190.804589557,1
190.804589557,0
191.804589557,1
191.804589557,0
192.804589557,1
192.804589557,0
193.804589557,1
193.804589557,0
194.804589557,1
194.804589557,0
195.816896612,1
195.816896612,0
196.816896612,1
196.816896612,0
197.816896612,1
197.816896612,0
198.816896612,1
198.816896612,0
199.816896612,1
199.816896612,0
200.816896612,1
200.816896612,0
201.816896612,1
201.816896612,0
356.349779759,1
356.355330244,0
357.349779759,1
357.355330244,0
358.349779759,1
358.355330244,0
359.349779759,1
359.355330244,0
360.349779759,1
360.355330244,0
361.349779759,1
361.355330244,0
362.349779759,1
362.355330244,0
363.349779759,1
363.355330244,0
364.349779759,1
364.355330244,0
365.395931214,1
365.401145306,0
366.395931214,1
366.401145306,0
367.395931214,1
367.401145306,0
368.395931214,1
368.401145306,0
369.395931214,1
369.401145306,0
370.395931214,1
370.401145306,0
371.395931214,1
371.401145306,0
372.395931214,1
372.401145306,0
373.395931214,1
373.401145306,0
374.44208267,1
374.447128565,0
375.44208267,1
375.447128565,0
376.44208267,1
376.447128565,0
377.44208267,1
377.447128565,0
378.44208267,1
378.447128565,0
379.44208267,1
379.447128565,0
380.44208267,1
