Point in Time[s],State of Active Resource[]
0.0,0
4468.496999999,1
4469.263982699,0
4469.496999999,1
4470.263982699,0
4470.496999999,1
4471.260874989,0
4471.496999999,1
4472.25807805,0
4472.496999999,1
4473.254970341,0
4473.496999999,1
4474.254970341,0
4474.496999999,1
4475.251862632,0
4475.496999999,1
4476.248754922,0
4476.496999999,1
4477.245647213,0
4477.496999999,1
4478.242539503,0
4478.496999999,1
4479.242539503,0
4479.496999999,1
4480.239431794,0
4480.496999999,1
4481.236634855,0
4481.496999999,1
4482.233527146,0
4482.496999999,1
4483.230419436,0
4483.496999999,1
4484.230419436,0
4484.496999999,1
4485.227311727,0
4485.496999999,1
4486.229176352,0
4486.496999999,1
4487.232284062,0
4487.496999999,1
4488.235391771,0
4488.496999999,1
4489.235391771,0
4489.496999999,1
4490.238499481,0
4490.496999999,1
4491.24160719,0
4491.496999999,1
4492.2447149,0
4492.496999999,1
4493.247822609,0
4493.496999999,1
4494.247822609,0
4494.496999999,1
4495.250930319,0
4495.496999999,1
4496.254038028,0
4496.496999999,1
4497.257145738,0
4497.496999999,1
4498.260253447,0
4498.496999999,1
4499.260253447,0
4499.496999999,1
4500.263361157,0
4500.496999999,1
4501.266468866,0
4501.496999999,1
4502.269576576,0
4502.496999999,1
4503.272373514,0
4503.496999999,1
4504.272373514,0
4504.496999999,1
4505.275481224,0
4505.496999999,1
4506.278588933,0
4506.496999999,1
4507.281696643,0
4507.496999999,1
4508.284804352,0
4508.496999999,1
4509.284804352,0
4509.496999999,1
4510.287912062,0
4510.496999999,1
4511.288222832,0
4511.496999999,1
4512.287601291,0
4512.496999999,1
4513.286668978,0
4513.496999999,1
4514.286668978,0
4514.496999999,1
4515.286047436,0
4515.496999999,1
4516.285115123,0
4516.496999999,1
4517.284493581,0
4517.496999999,1
4518.283561268,0
4518.496999999,1
4519.283561268,0
4519.496999999,1
4520.282939726,0
4520.496999999,1
4521.282007413,0
4521.496999999,1
4522.281385872,0
4522.496999999,1
4523.280453559,0
4523.496999999,1
4524.280453559,0
4524.496999999,1
4525.279832017,0
4525.496999999,1
4526.279210475,0
4526.496999999,1
4527.278278162,0
4527.496999999,1
4528.27765662,0
4528.496999999,1
4529.27765662,0
4529.496999999,1
4530.276724307,0
4530.496999999,1
4531.276102765,0
4531.496999999,1
4532.275170453,0
4532.496999999,1
4533.274548911,0
4533.496999999,1
4534.274548911,0
4534.496999999,1
4535.273616598,0
4535.496999999,1
4536.273305827,0
4536.496999999,1
4537.273305827,0
4537.496999999,1
4538.273305827,0
4538.496999999,1
4539.273305827,0
4539.496999999,1
4540.273305827,0
4540.496999999,1
4541.273305827,0
4541.496999999,1
4542.273305827,0
4542.496999999,1
4543.273305827,0
4543.496999999,1
4544.273305827,0
4544.496999999,1
4545.273305827,0
4545.496999999,1
4546.273305827,0
4546.496999999,1
4547.273305827,0
4547.496999999,1
4548.273305827,0
4548.496999999,1
4549.273305827,0
4549.496999999,1
4550.273305827,0
4550.496999999,1
4551.273305827,0
4551.496999999,1
4552.273305827,0
4552.496999999,1
4553.273305827,0
4553.496999999,1
4554.273305827,0
4554.496999999,1
4555.273305827,0
4555.496999999,1
4556.273305827,0
4556.496999999,1
4557.273305827,0
4557.496999999,1
4558.273305827,0
4558.496999999,1
4559.273305827,0
4559.496999999,1
4560.273305827,0
4560.496999999,1
4561.273616598,0
4561.496999999,1
4562.274548911,0
4562.496999999,1
4563.275170453,0
4563.496999999,1
4564.275170453,0
4564.496999999,1
4565.276102765,0
4565.496999999,1
4566.276724307,0
4566.496999999,1
4567.27765662,0
4567.496999999,1
4568.278278162,0
4568.496999999,1
4569.278278162,0
4569.496999999,1
4570.279210475,0
4570.496999999,1
4571.279832017,0
4571.496999999,1
4572.28076433,0
4572.496999999,1
4573.281385872,0
4573.496999999,1
4574.281385872,0
4574.496999999,1
4575.282318184,0
4575.496999999,1
4576.282939726,0
4576.496999999,1
4577.283561268,0
4577.496999999,1
4578.284493581,0
4578.496999999,1
4579.284493581,0
4579.496999999,1
4580.285115123,0
4580.496999999,1
4581.286047436,0
4581.496999999,1
4582.286668978,0
4582.496999999,1
4583.287601291,0
4583.496999999,1
4584.287601291,0
4584.496999999,1
4585.288222832,0
4585.496999999,1
4586.288533603,0
4586.496999999,1
4587.287912062,0
4587.496999999,1
4588.286979749,0
4588.496999999,1
4589.286979749,0
4589.496999999,1
4590.286358207,0
4590.496999999,1
4591.285736665,0
4591.496999999,1
4592.284804352,0
4592.496999999,1
4593.28418281,0
4593.496999999,1
4594.28418281,0
4594.496999999,1
4595.283250497,0
4595.496999999,1
4596.282628955,0
4596.496999999,1
4597.281696643,0
4597.496999999,1
4598.281075101,0
4598.496999999,1
4599.281075101,0
4599.496999999,1
4600.280142788,0
4600.496999999,1
4601.279521246,0
4601.496999999,1
4602.278588933,0
4602.496999999,1
4603.277967391,0
4603.496999999,1
4604.277967391,0
4604.496999999,1
4605.277035078,0
4605.496999999,1
4606.276413536,0
4606.496999999,1
4607.275481224,0
4607.496999999,1
4608.274859682,0
4608.496999999,1
4609.274859682,0
4609.496999999,1
4610.273927369,0
4610.496999999,1
4611.272062743,0
4611.496999999,1
4612.259631905,0
4612.496999999,1
4613.247201067,0
4613.496999999,1
4614.247201067,0
4614.496999999,1
4615.234770229,0
4615.496999999,1
4616.222339391,0
4616.496999999,1
4617.210219324,0
4617.496999999,1
4618.197788487,0
4618.496999999,1
4619.197788487,0
4619.496999999,1
4620.185357649,0
4620.496999999,1
4621.172926811,0
4621.496999999,1
4622.160806744,0
4622.496999999,1
4623.148375906,0
4623.496999999,1
4624.148375906,0
4624.496999999,1
4625.135945068,0
4625.496999999,1
4626.12351423,0
4626.496999999,1
4627.111394163,0
4627.496999999,1
4628.098963325,0
4628.496999999,1
4629.098963325,0
4629.496999999,1
4630.086532487,0
4630.496999999,1
4631.074101649,0
4631.496999999,1
4632.061981582,0
4632.496999999,1
4633.049550744,0
4633.496999999,1
4634.049550744,0
4634.496999999,1
4635.037119906,0
4635.496999999,1
4636.024999839,0
